id,bin,last_4,country_code,currency,names,emails,ip_addresses,order_ids,shopper_ids,merchant_ids,total_txn,total_sales,total_sale_amount,total_refunds,total_refund_amount,total_chargebacks,total_chargeback_amount,layer1_status,layer2_status,recent_txn_count,last_updated,fraud_score
1,459554,1004,IN,INR,"['Angel Cohen', 'Kristy Rodriguez']",['uwilson@johnson.com'],"['103.63.136.206', '24.121.146.236']","['476194', '787722', '369842', '781116', '245804', '172770', '271700', '749133', '649336', '316361', '794482', '694214', '182480', '693613', '256463', '368072', '116526', '353948', '981792', '389173', '239932', '871668', '829881', '261652', '783624', '246027', '144100', '904978', '796065', '778493', '244294', '180999', '694144', '934226', '207427', '995081', '997478', '154247', '674678', '993044', '826189', '886668', '832919', '564748', '393041', '498832', '417259', '378460', '179802', '510882', '436641', '988228', '405907', '860083', '139324', '812483', '922181', '668178', '525586', '879375', '878361', '684830', '209392', '197878', '927377', '807949', '206384', '954334', '228089', '989627', '168739', '924778', '271236', '347045', '295209', '298313', '550741', '467748', '457635', '532270', '112811', '107192']",['28944'],"['68129', '67481', '13492', '45522', '98446']",82,9,2790,0,0,0,0,a,r,9,2024-10-28 22:42:24,0.14
2,415534,7024,DE,INR,"['William Pitts', 'Jose Marshall']","['websterroger@conway.info', 'schandler@mccoy.biz']",['206.145.121.157'],"['716187', '871359', '695739', '584213', '975603', '975737', '519241', '849384', '180526', '560724', '978320', '255294', '458550', '681510', '830151', '543618', '125219', '166458', '538949', '289610', '692341', '130056', '328039', '157397', '944053', '526468', '134843', '793519', '144454', '561300', '744049', '202313', '899139', '202199', '290156', '533535', '675348', '208811', '764229', '264113', '413822', '766163', '696319', '407400', '678123', '557782', '664335', '891412', '940520', '373862', '686360', '878275', '925025', '572203', '729089', '387287', '261778', '791897', '187334', '746774', '906624', '644071', '729213', '781722']",['28023'],['82973'],64,27,4023,15,3420,1,368,d,d,6,2023-12-18 22:51:34,0.79
3,431875,7774,DE,USD,"['Jacob Hernandez', 'Richard Powell']",['jamesbrown@nguyen.biz'],['12.11.186.206'],"['352417', '115419', '898994', '754222', '661912', '161646', '628426', '718281', '552543', '531749', '117682', '299062', '397689', '827376', '271322', '626516', '520380', '440314', '442099', '961923', '535608', '150600', '246452', '123713', '793925', '273465', '527347', '846404', '752259', '836490', '730050', '829419', '311768', '558391', '580140', '812405', '932237', '318439', '446978', '415956', '835498', '150720', '311388', '292368', '922041', '916933', '882665', '585756', '568445', '182248', '861478', '117297', '516512', '295901', '682403', '837226', '917031', '169010', '606230']",['42084'],['33182'],59,18,4716,12,5460,4,1840,d,r,1,2025-04-10 23:47:18,0.75
4,464147,8530,IN,INR,"['Lisa Mayer', 'John Wise']",['adam92@williams.com'],['13.117.108.140'],"['502156', '466728', '678920', '736839', '235727', '114628']",['69566'],['75359'],6,4,972,1,411,0,0,a,d,5,2025-03-31 19:45:59,0.05
5,461985,2868,DE,EUR,['Brian Mcclain'],"['courtney69@clark.info', 'maria35@gmail.com']","['166.0.123.42', '205.71.175.30', '174.248.100.105']","['797353', '436491', '599147', '115404', '101725', '824091', '686975', '798540', '479633', '452043', '283772', '699840', '855154']",['60099'],"['37399', '42567']",13,11,4532,1,57,0,0,a,,2,2024-05-17 02:14:15,0.3
6,493213,2112,FR,INR,['Mark Cruz'],['qsullivan@hotmail.com'],"['112.204.131.41', '186.124.121.74', '118.118.200.206']","['873178', '647110', '761433', '205613', '410406', '143500', '836266', '257189', '919628', '342819', '362026', '909943', '604245', '326130', '573720', '201741', '371676', '692405', '629039', '700966', '700487', '187876', '262236', '707615', '233603', '971287', '624651', '594218', '893318', '708436', '517797', '448839', '120279', '905259', '839882', '724233', '793807', '752547', '948019', '832766', '229350', '945245', '655529', '620314', '491829', '513387', '619713', '853788', '607894', '424905', '218893', '654827']",['50311'],"['83657', '83487', '11437']",52,26,9308,2,896,1,482,a,r,3,2023-12-01 19:55:22,0.02
7,495240,2432,DE,USD,"['Steven Wood', 'Shawn Sanchez']","['osimon@king.com', 'christopherrogers@hotmail.com']",['17.53.74.215'],"['541361', '140813', '347773', '257528', '116663', '794627', '450416', '660772', '126377', '722687', '670488', '677582', '567159', '699489', '618875', '145844', '948264', '124141', '228201', '644936', '688383', '257626', '791055', '383851', '721973', '620361', '498686', '215655', '183744', '371388', '195089', '964847', '832415', '535137', '147436', '586526', '296814', '375378', '242311', '145516']",['92761'],"['11322', '87464', '96218']",40,19,4579,1,438,0,0,a,,5,2024-02-16 06:48:17,0.23
8,496474,9954,US,EUR,['Stephen Sanchez'],['thorntoncaitlin@hoover.com'],['177.56.151.83'],"['971895', '191675', '438142', '534930', '494214', '804325', '348855', '872519', '339703', '356352', '234472', '787331', '825904', '910764', '270235', '596575', '224804', '598872', '998529', '504191', '306868', '230668', '627184', '483173', '496639', '540517', '431920', '918654', '787284', '223093', '393026', '385097', '429895', '568322', '519033', '303981', '545989', '784382', '877642', '158716', '572597', '755571']",['18212'],['35234'],42,13,3861,0,0,1,414,a,d,3,2024-09-10 01:38:08,0.1
9,469014,8759,US,USD,['Todd White'],['jamesthompson@ward-gonzalez.com'],['13.117.74.126'],"['243904', '285968', '420479', '869323', '271244', '687102', '939508', '723715', '445899', '723410', '847113', '377668', '241766', '451377', '904103']",['21531'],"['79151', '43573', '99868', '32721', '30573']",15,12,1656,0,0,1,343,a,r,6,2024-04-06 15:50:42,0.27
10,483630,9795,GB,USD,['Brittany Watson'],"['idavis@keith.com', 'fieldsjames@obrien.biz']",['93.98.215.219'],"['892755', '925236', '872407', '740104', '974487', '454490', '241729', '555583', '776524', '544071', '495989', '264645', '895988', '618231', '881219', '109576', '875831', '720404', '522179', '890171', '853855', '793731', '534192', '559181', '754695', '258296', '346820', '872007', '932371', '467348', '761593', '235878', '259643', '814466', '737072', '455393', '373191', '293796', '355781']",['50298'],['54503'],39,20,7240,1,331,0,0,a,d,1,2023-12-23 00:08:48,0.18
